Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
BMETRICS,SM,40.2,-0.25,49.5,0.1,0.04
SMARTLINK,EQ,132.25,-0.81,131.92,0.03,0.04
CPEDU,EQ,191.2,-0.36,347.85,0.02,0.04
1025VCCL28,N0,95229.88,-0.28,171.41,0,0.04
MODIRUBBER,EQ,128.51,-0.41,321.8,0.03,0.04
MONEYBOXX,EQ,69.53,-0.67,485.38,0.05,0.04
KSR,BE,34.65,-2.56,63.68,0.11,0.04
KALYANIFRG,EQ,604.9,-0.19,220.06,0.01,0.04
ZFSTEERING,EQ,819,-0.03,743.1,0,0.04
ISHANCH,EQ,61.75,-0.21,161.42,0.06,0.04
CURIS,SM,116,-1.02,93.78,0.03,0.03
MCON,SM,48.5,-4.81,35.58,0.07,0.03
SHRIKANHA,ST,26.55,-4.84,41.37,0.13,0.03
SRIVASAVI,SM,56.35,-2.84,79.87,0.06,0.03
985ECL28,NK,1055,-0.47,287.1,0,0.03
NAMAN,SM,59.9,-0.08,78.27,0.06,0.03
97SFL29,YZ,1084,-1,37.02,0,0.03
710GS2029,GS,101.8,-0.06,153718,0.03,0.03
CCHHL,EQ,13.8,-1.22,225.58,0.22,0.03
930APMD31,N0,103486,-0.01,1034.85,0,0.03
COUNCODOS,EQ,5.16,-0.77,40.04,0.59,0.03
915APSBC27,N0,100935,-0.8,554.13,0,0.03
890SFIL23A,NZ,435,-4.38,5.14,0.01,0.03
GATECHDVR,EQ,0.47,-2.08,8.91,6.44,0.03
12VCCL29B,N0,97001,-2.61,53.35,0,0.03
DELTAMAGNT,EQ,62.98,-0.68,68.34,0.05,0.03
MASON,SM,144,-0.62,344.74,0.02,0.03
PREMCO,EQ,426.75,-0.19,141.03,0.01,0.03
82IGT31,NJ,1017.75,-0.07,609.82,0,0.03
PRUDMOULI,EQ,16.46,-4.47,53.09,0.16,0.03
79NHIT40,N2,310,-0.44,465,0.01,0.03
IPHL,SM,54.1,-1.81,135.19,0.05,0.03
SUVIDHAA,BE,2.99,-0.66,62.73,0.86,0.03
935MOFSL29,N5,1024,-0.1,83.94,0,0.03
CALSOFT,EQ,12,-0.17,83.98,0.21,0.03
743REC35,NH,1161.68,-3.18,216.14,0,0.03
GJL,ST,158.2,-4.98,229.5,0.02,0.03
CINEVISTA,EQ,15.36,-3.76,88.22,0.16,0.03
842IIFL26,NL,987,-0.5,145.34,0,0.03
MODTHREAD,EQ,46.77,-1.2,162.64,0.05,0.03
GENSOL,BZ,23.15,-4.97,87.98,0.11,0.02
DTIL,EQ,140.9,-0.1,148.05,0.02,0.02
BI,EQ,62.5,-0.95,147.16,0.04,0.02
ATCENERGY,ST,29,-3.33,59.13,0.08,0.02
764IRFC31,NO,1121.11,-0.78,1338.96,0,0.02
ARVINDPORT,SM,39.6,-1.98,70.48,0.06,0.02
KLL,SM,41.65,-3.25,77.18,0.06,0.02
OBCL,EQ,55.55,-1.19,117.11,0.04,0.02
OMKARCHEM,BZ,3.58,-4.79,7.37,0.65,0.02
TIRUPATI,SM,464.45,-1.18,470.49,0.01,0.02
ASTRON,BE,4.41,-1.78,20.51,0.51,0.02
DHANLAXMI,SM,28.1,-4.1,45.88,0.08,0.02
TOTAL,EQ,54.8,-0.02,88.38,0.04,0.02
HPIL,EQ,137.2,-0.75,156.74,0.02,0.02
IIFLZC28,NG,1593.2,-0.17,108.57,0,0.02
FWSTC,SM,180,-3.49,183.19,0.01,0.02
ALCODIS,ST,86,-4.71,88.15,0.03,0.02
850NHAI29,N5,1081.4,-1.06,1873.01,0,0.02
DUGLOBAL,ST,43.25,-4.95,310.85,0.05,0.02
779MH54,SG,98,-1.06,784,0.02,0.02
GILLANDERS,EQ,89.95,-0.94,191.97,0.02,0.02
RVTH,EQ,613.4,-2.59,188.13,0,0.02
TAKE,BE,45.34,-1.99,670.73,0.04,0.02
