Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SGBJUN30,GB,18325,1.9,4687.29,0,0.47
SURAKSHA,EQ,265,2,1380.14,0.18,0.47
KOTHARIPET,EQ,115.15,0.76,677.62,0.41,0.47
NIF100BEES,EQ,275,1.42,320.01,0.17,0.46
IRIS,EQ,293.7,3.69,604.09,0.16,0.46
SGBMAR31IV,GB,19100,2.69,6745.33,0,0.46
BFSI,EQ,28.26,1.33,477.28,1.63,0.46
SENSEXBETA,EQ,904.62,0.39,53470.38,0.05,0.46
BCONCEPTS,EQ,298,10.6,371.96,0.16,0.45
NDL,EQ,2.86,2.51,412.26,16.16,0.45
SUTLEJTEX,EQ,29.65,8.61,485.75,1.52,0.45
NV20IETF,EQ,15.11,0.33,192.24,2.99,0.45
VLSFINANCE,EQ,264.55,1.44,830.12,0.17,0.45
MACPOWER,EQ,843.2,1.27,843.55,0.05,0.45
ORIENTPPR,EQ,20.24,3.74,429.46,2.26,0.45
OMFREIGHT,EQ,90.98,0.85,306.38,0.5,0.45
EMULTIMQ,EQ,40.91,1.89,31.67,1.1,0.45
FELIX,SM,185,2.78,318.32,0.24,0.44
HMAAGRO,EQ,26.63,3.62,1333.55,1.7,0.44
THEMISMED,EQ,80,2.91,736.8,0.55,0.44
TNIDETF,EQ,95.48,1.99,182.92,0.47,0.44
HDFCPSUBK,EQ,91.85,1.95,30.15,0.49,0.44
CPEDU,EQ,219.8,3.92,399.88,0.2,0.44
VLEGOV,EQ,15.1,2.79,163.76,2.92,0.44
VGL,EQ,128.36,0.7,330.71,0.34,0.44
AMANTA,EQ,101.5,1.74,394.12,0.43,0.43
RML,EQ,741.6,0.29,2049.57,0.06,0.43
HEALTHY,EQ,14.48,1.26,50.14,2.98,0.43
AARTISURF,EQ,407.7,2.68,345.12,0.1,0.42
KOLTEPATIL,EQ,365,0.91,3236.82,0.12,0.42
JITFINFRA,EQ,248.3,9.99,638.22,0.18,0.42
EVIETF,EQ,29.58,0.92,42.71,1.42,0.42
CORDSCABLE,EQ,158.25,3.27,204.58,0.26,0.41
SGBN28VIII,GB,17843.9,2.96,2807.66,0,0.41
